Customer_ID,cluster,pca1,pca2,recency_days,num_orders,total_amount,total_items,avg_order_value,unique_products
12346,1,-1.9916685641195004,-1.8568629859720636,529,11,372.86,70,33.89636363636364,26
12347,0,2.692627153600727,0.40251406641133763,2,8,5633.32,3286,704.165,126
12348,2,1.141176320118707,0.09921008664348784,75,5,2019.4,2714,403.88,25
12349,0,2.291091301045966,1.1370795676879335,19,4,4428.69,1624,1107.1725,138
12350,3,-1.4448250671207206,0.7743994759448657,310,1,334.4,197,334.4,17
12351,3,-1.4617883183751585,0.8527199283699564,375,1,300.93,261,300.93,21
12352,2,1.2988277094470615,-0.8316713542501009,36,10,2473.34,723,247.334,70
12353,2,-1.1137227273126746,-0.18885483623716132,204,2,406.76,212,203.38,23
12354,3,0.34326047643085106,1.9349022782653527,232,1,1079.4,530,1079.4,58
12355,2,-0.006210761900849013,0.8279730692270477,214,2,947.61,543,473.805,35
12356,0,2.5502053720458915,0.8032128051352642,23,6,5301.18,3331,883.5300000000001,104
12357,0,4.092110571811517,3.73169698523585,33,2,17437.66,6586,8718.83,260
12358,0,1.7582198751636184,0.5901975336131037,2,5,3887.07,1079,777.414,56
12359,0,3.2441084440789134,0.7458766735195014,58,10,8935.94,2752,893.594,305
12360,0,2.3873802879253367,0.21638283771845865,52,8,4252.89,2459,531.61125,160
12361,1,-1.1444217672646688,-0.6663164897593993,287,4,511.25,235,127.8125,18
12362,0,2.697760067641931,-0.12490844087428615,3,11,5356.23,2230,486.92999999999995,201
12363,2,-0.5280095526431086,-0.06988085546100119,110,2,552.0,408,276.0,23
12364,2,1.0650069278129541,-0.24932436982844583,8,4,1313.1,1506,328.275,70
12365,3,-1.4213968007451514,0.6745928307520634,291,1,320.69,173,320.69,21
12366,3,-1.9846979494404622,2.0768688748854935,634,1,500.24,296,500.24,3
12367,1,-1.744430241051776,-0.8126740388215616,4,1,168.9,173,168.9,11
12368,3,-0.9005931025196335,2.7684392107867803,628,1,917.6999999999999,330,917.6999999999999,18
12369,3,0.7815381158699192,1.575163953545514,413,3,1791.15,1241,597.0500000000001,90
12370,0,2.4360908707430324,0.42815095219392685,51,7,4320.31,2605,617.1871428571429,168
12371,0,2.038299383426719,1.0435254976407211,60,4,3707.38,1427,926.845,134
12372,2,0.5252526117270935,0.2603269928314297,72,3,1298.04,794,432.68,34
12373,3,-0.043680104010393794,0.7244628476855834,311,3,1127.65,516,375.8833333333334,36
12374,0,1.7140623957168577,0.6985835345363207,25,4,2989.2200000000003,1362,747.3050000000001,79
12375,2,-0.967434120397905,-0.5975599346615098,11,2,457.5,178,228.75,14
12376,3,-1.413018458962753,0.5356867448382091,390,2,503.15,240,251.575,11
12377,0,1.7231071140168097,1.6617076299498204,315,4,3426.32,2105,856.58,129
12378,0,2.821354581108251,2.6669437702732117,130,2,5416.32,3316,2708.16,281
12379,2,0.8690972217455534,0.14258489684776263,82,4,1620.22,815,405.055,58
12380,0,3.0465284451348413,0.5465981094021762,22,10,8167.65,3354,816.765,155
12381,2,1.1399239739357225,-0.23291259039922,5,5,1845.31,808,369.062,70
12383,2,1.153601126340346,0.2924618646478641,185,5,1850.56,1532,370.11199999999997,84
12384,2,-0.6953228460830848,-0.2849316669121442,29,2,585.27,126,292.635,26
12385,3,0.6921369031867954,2.9848668418281066,379,1,1938.4,612,1938.4,65
12386,3,-0.8783550635102052,0.7411490704431577,338,2,660.8,568,330.4,10
12387,1,-2.600407818462699,0.09729398287060467,415,1,143.94,134,143.94,9
12388,0,2.0728299809668513,-0.0006714798106375114,16,8,3901.11,2001,487.63875,83
12389,3,0.11907744693545873,1.2475761259902611,403,3,1433.33,614,477.77666666666664,41
12390,2,-0.3193199586883581,0.749262398787655,80,1,549.84,353,549.84,32
12391,0,2.007118335820924,0.049937350823617756,22,6,2773.42,1220,462.2366666666667,241
12392,1,-2.7273130583789404,1.0680588973723824,591,1,234.75000000000003,73,234.75000000000003,7
12393,2,1.3707851523993504,2.4627064139954615e-05,72,6,2399.4500000000003,1311,399.90833333333336,63
12394,2,0.4720709109722225,0.7662586056767251,64,2,1272.48,819,636.24,26
12395,0,2.6881053306176415,-0.5759728378266815,19,15,5067.27,3733,337.81800000000004,145
12396,3,-0.3279161183181883,2.9672138513867967,674,1,931.43,591,931.43,65
12397,2,1.664981707772563,1.4488631491341453,36,2,2409.9,1263,1204.95,110
12398,2,1.3819833966697055,1.9550483086341346,46,1,1635.6599999999999,1394,1635.6599999999999,85
12399,0,1.327349245936804,-0.2865331903061465,119,7,1962.3,2198,280.3285714285714,67
12400,1,-2.3714089343322793,0.4663653769294954,414,1,205.25,91,205.25,11
12401,1,-3.8181915196816396,-0.9323847415785864,303,1,84.3,11,84.3,5
12402,2,0.10543975373589298,-0.08951886997899107,323,6,1256.9,584,209.48333333333335,43
12403,2,-0.5831781533183246,0.38892576791476846,50,2,1019.36,260,509.68,5
12404,1,-5.542108498587447,-0.3503691053147614,682,1,63.24,1,63.24,1
12405,2,0.782844014814075,2.0151044863180925,149,1,1390.39,849,1390.39,53
12406,0,2.7448701195124157,1.2701839388704834,22,5,6390.36,3416,1278.072,114
12407,2,1.12001354749277,-0.17054139132625365,50,5,1708.1200000000001,1416,341.624,57
12408,0,2.2481062204432605,0.17325569701195367,33,8,4340.7699999999995,2229,542.5962499999999,104
